Q: Why did the blonde become a big basketball fan?,A: Because every time they stopped the clock[COMMA] she thought that she had stopped aging.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What do you call a boomerang that doesn't come back?,A: A stick.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: Why did the chicken cross the basketball court?, ,A: He heard the ref was blowing fowls.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What goes all the way around a baseball field but never moves?,A: The fence.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: Why did the chicken run onto the football field?,A: Because the umpire called a foul.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did you hear the one about the good-looking teenage girl who went on a fishing trip with six old men?, She came home with a red snapper.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A man takes a beautiful blonde to his apartment.,They're kissing in the elevator when she feels something in his pocket.,What is that? she asks.,"He replies[COMMA] ""Those are my golf balls.""","She says[COMMA] ""Is that like tennis elbow?"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A pastor[COMMA] a doctor and an engineer wait for a particularly slow group of golfers.,"The engineer fumes[COMMA] ""What's with these guys?","We've been waiting for 15 minutes!""","The pastor says[COMMA] ""Hey[COMMA] here comes the groundskeeper.","Let's have a word with him.""","Say[COMMA] George[COMMA] what's with that group ahead of us?,They're rather slow[COMMA] aren't they? the doctor asks.",The groundskeeper tells them that the other golfers are a group of blind firefighters who lost their sight saving the clubhouse from a fire and that they come and play for free whenever they want.,The group is silent for a moment.,"The pastor says[COMMA] ""That's so sad.","I will say a special prayer for them tonight.""","The doctor says[COMMA] ""Good idea.","I'm going to contact my ophthalmologist buddy and see if there's anything he can do for them.""","The engineer says[COMMA] ""Why can't these guys play at night?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A man goes to the confessional.,Forgive me father[COMMA] for I have sinned.,What is your sin[COMMA] my child? The priest asks back.,"Well[COMMA] the man starts[COMMA] ""I used some horrible language this week and feel absolutely terrible.""",When did you do use this awful language? said the priest.,I was golfing and hit an incredible drive that looked like it was going to go over 250 yards[COMMA] but it struck a phone line that was hanging over the fairway and fell straight down to the ground after going only about 100 yards.,Is that when you swore?,No[COMMA] Father. Said the man.,After that[COMMA] a squirrel ran out of the bushes and grabbed my ball in his mouth and began to run away.,"Is THAT when you swore?"" asked the Father again.","Well[COMMA] no. said the man[COMMA] ""You see[COMMA] as the squirrel was running[COMMA] an eagle came down out of the sky[COMMA] grabbed the squirrel in his talons and began to fly away!""",Is THAT when you swore? asked the amazed Priest.,No[COMMA] not yet. The man replied.,"As the eagle carried the squirrel away in his claws[COMMA] it flew,towards the green.,And as it passed over a bit of forest near the green[COMMA] the squirrel dropped my ball.",Did you swear THEN? asked the now impatient Priest.,No[COMMA] because as the ball fell it struck a tree[COMMA] bounced through some bushes[COMMA] careened off a big rock[COMMA] and rolled through a sand trap onto the green and stopped within six inches of the hole.,You missed the f**king putt[COMMA] didn't you? sighed the Priest.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The was a man named George who got a new job., His fellow employees always met for a round of golf every Saturday.,They asked George to meet them at 10:00 Saturday morning., George replied that he would love to meet them[COMMA] but he may be 10 minutes late.,On Saturday morning George was there at exactly 10:00., He golfed right handed and won the round.,Next Saturday rolls around[COMMA] and George says that he will be there[COMMA] but he may be 10 minutes late again., He shows up right on time[COMMA] golfs left handed[COMMA] and wins the round., This continues for the next few weeks[COMMA] with Geoge always saying that he may be 10 minutes late[COMMA] and then always winning the round golfing[COMMA] either left or right handed., ,The other employees are getting tired of this[COMMA] and decided to ask him what the deal was., They said[COMMA] ''George[COMMA] every Saturday you say you may be ten minutes late., You never are., Then,you show up and golf with either right handed or left handed[COMMA] and always win., What is up with that?'',George replies[COMMA] ''Well[COMMA] I am a very superstitious kind of guy., Every Saturday when I wake up[COMMA] I look over at my wife., If she is sleeping on her left side[COMMA] I golf left handed., If she is sleeping on her right side[COMMA] I golf right handed.'',''Well[COMMA]'' one of the employees questioned[COMMA] ''What happens if she is laying on her back?'',George replies[COMMA] ''Then I am 10 minutes late.'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A man is participating in a,golf tournament.,He was, left to golf with just his caddy., On his tee-off[COMMA], the golfer's ball lands in a patch of buttercups., The caddy tells the golfer he can take the ball, onto the course[COMMA] and he won't take a one stroke, penalty., However[COMMA] the golfer refuses and takes, the ball out of the buttercups and takes the, stroke penalty., Suddenly[COMMA] Mother Nature appears.,"What you just did was amazing., I am so, proud that you enjoy nature and all of its beauty., For your reward[COMMA] I will give you a lifetime supply, of butter.",Thanks[COMMA] says the man.,"But where were you, last week when my ball landed in the, pussywillows?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fred and DooDah go to their favorite lake to fish.,After getting out on the water[COMMA] DooDah hooks a huge fish[COMMA] which pulls him overboard[COMMA] and he drowns.,Fred is brokenhearted and goes to tell DooDah's wife the news.,"She opens the door and hears Fred say[COMMA] ""Guess who drowned in the lake today?",DooDah!,"DooDah!"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There was a young country boy who was very bright.,In fact he was bright enough to be accepted to Harvard.,One of his first assignments at Harvard was to write a paper on a famous person.,He didn't know who he would write about so he decided to go to the library and do some research.,But he didn't know where the library was.,He saw a professor walking down the hall.,"He stopped the professor and said to him[COMMA] ""Do you know where the library is at?""","The professor looks at him strangely and says[COMMA] ""Young man[COMMA] here at Harvard we never end a sentence in a preposistion.""","The young man says[COMMA] ""Oh[COMMA] excuse me.","Do you know where the library is at[COMMA] asshole?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One day[COMMA] Jeffrey complained to his friend[COMMA] ,My elbow really hurts[COMMA] I guess I should see a doctor., ,Don't do that!,There's a computer at the drug store that can diagnose anything[COMMA] quicker and cheaper than a doctor.,Simply put in a sample of your urine and the computer will diagnose your problem and tell you what you can do about it.,It only costs $10.,Jeffery figured he had nothing to lose[COMMA] so he took his urine sample to the drug store.,Finding the computer[COMMA] he poured in the sample and deposited the $10.00.,The computer started making some noise and various lights started flashing.,After a brief pause[COMMA] out popped a small slip of paper on which was printed:,&#147;You have tennis elbow.,Soak your arm in warm water.,Avoid heavy lifting.,It will be better in two weeks.&#148;, Late that evening while thinking how,amazing this new technology was and how it would change medical science forever[COMMA] he began to wonder if this machine could be fooled.,He decided to give it a try.,He mixed together some tap water[COMMA] a stool sample from his dog and urine samples from his wife and daughter., To top it off[COMMA] he masturbated into the concoction., He went back to the drug store[COMMA] located,the machine[COMMA] poured in the sample and deposited $10.00.,The computer again made the usual noise and printed out the following message:,&#147;Your tap water is too hard.,Get a water softener.,Your dog has worms.,Get him vitamins.,Your daughter's using cocaine.,Put her in a rehabilitation clinic.,Your wife's pregnant - twin girls.,They aren't yours.,Get a lawyer.,And if you don't stop jerking off[COMMA] your tennis elbow will,never get better.&#148;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An army major visits the sick soldiers[COMMA] goes up to one private and asks:,What's your problem[COMMA] Soldier?,Chronic syphilis[COMMA] Sir,What treatment are you getting?,Five minutes with the wire brush each day.,What's your ambition?,To get back to the front[COMMA] Sir.,Good man., says the Major.,He goes to the next bed.,What's your,problem[COMMA] Soldier?,Chronic piles[COMMA] Sir,What treatment are you getting?,Five minutes with the wire brush each day.,What's your ambition?,To get back to the front[COMMA] Sir.,Good man., says the Major.,He goes to the next bed.,What's your,problem[COMMA] Soldier?,Chronic gum disease[COMMA] Sir,What treatment are you getting?,Five minutes with the wire brush each day.,What's your ambition?,To get the wire brush before the other two[COMMA] Sir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: Why are baseball players so cool?,A: They always have their fans around.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A group of men go up into the mountains to go bear hunting., The first morning out[COMMA] Bill goes out on his own., He comes to a clearing on a hill overlooking a field and sees a bear slowly strolling across the field., He gets the bear in his sites and fires., He then looks all around[COMMA] but he can't find the bear.,All of a sudden[COMMA] he feels a tap on his shoulder., He turns around[COMMA] and there's the bear., The bear knocks the gun out of his hands[COMMA] and Bill stands there shaking in his boots., ,The bear yells at him[COMMA] saying he's sick and tired of being shot at and gives Bill an ultimatum., The bear tells him that he can either drop to his knees and blow him[COMMA] or the bear will eat his face., ,Bill immediately drops to his knees and obliges the bear.,The bear walks away contented and Bill find his way back to the cabin., , ,The next morning[COMMA] Bill takes an even bigger gun with him and goes to the same place he saw the bear before., And sure enough[COMMA] there was the bear strolling across the field again., Bill gets all excited[COMMA] gets the bear in his sites and shoots!,He looks all around[COMMA] but there is no bear., All of a sudden he feels a tap on his shoulder again., He turns around[COMMA] and[COMMA] surprise[COMMA] there's the bear., The bear looks at him[COMMA] knocks the gun out of his hand[COMMA] and says[COMMA]''You know the routine.'' , ,Bill drops to his knees and obliges the bear again., When he's done[COMMA] the bear walks,away smoking a cigarette and Bill stumbles back to his cabin., ,Bill is all pissed off now., He grabs the biggest gun he can find and heads to the same spot again., And sure enough[COMMA] there is the bear strolling across the field again., He gets the bear in his sites[COMMA] and says to himself[COMMA] ''Now this bear's gonna,fuckin' get it!'',"He pulls the trigger and[COMMA] ""Ka-BOOM!"" He looks all over again[COMMA] but no bear.", Then[COMMA] just as before[COMMA] he feels the same tap at his shoulder., He turns around[COMMA] there's the bear standing there with a big smirk on his face., He looks down at Bill and says[COMMA] ''You're not in this for the hunting are you?''',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A drunk Alaskan decides to go ice fishing.,He starts sawing a hole in the ice[COMMA] but just then a,"booming voice says[COMMA] ""You will find no fish there.""",The drunk ignores it and continues sawing.,"The voice repeats[COMMA] ""You will find no fish under the ice.""","The drunk looks up and says[COMMA] ""God[COMMA] is that you?""","The voice says[COMMA] ""No[COMMA] I'm the manager of this ice rink."" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There was a competition between a team of blondes and a team of brunettes to see who could catch the most fish icefishing.,Once the contest started[COMMA] it was clear that the brunettes were going to win -- they kept pulling out fish after fish.,Soon[COMMA] the blondes got worried and sent over one of their team to see what the brunettes were doing differently.,A few minutes later[COMMA] the blonde comes running back.,"A hole!,You need to put a hole in the ice!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How did the blonde die icefishing?,She got run over by the zamboni!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If the Jacksonville Jaguars are known as the ""Jags"" and the Tampa Bay Buccaneers are known as the ""Bucs[COMMA]"" what does that make the Tennessee Titans?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hey babe[COMMA] I'd really like to foul you.,High five!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hey babe[COMMA] let's play football!,You can have first down.,High five!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hey babe[COMMA] can I take it to the hole?,High five!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hey babe[COMMA] I got a Louisville slugger...,in my pants!,High five!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hey babe[COMMA] can I get into your penalty box?,High five!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hey babe[COMMA] if you play man-to-man[COMMA] I'll play zone.,High five!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When I see you[COMMA] there's a Ruthian blast in my pants.,High five!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hey babe[COMMA] I'd like to check out your sin bin.,High five!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hey babe[COMMA] are you a good ball handler?,High five!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hey babe[COMMA] are you interested in a little bump and run?,High five!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hey babe[COMMA] are you interested in a little offensive holding?,High five!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hey babe[COMMA] I promise I'll give you the home field advantage.,High five!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is your goalmouth open?,High five!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There was this little boy who had no name.,One day he went outside and heard someone say Jonny.,He then tells his mother his first name would be Jonny.,The second day he goes outside and hears the name Humper.,So[COMMA] he tells his mother his middle name was going to be Humper.,The third day[COMMA] Jonny goes out and hears the name Harder.,Then[COMMA] he tells his mother his full name shall be Jonny Humper Harder., Jonny goes out one day with handful of cookies.,He sees this girl around his age and asks her if she would be willing to take off her shirt for a cookie.,The little girls says that she would take off all her close for all of Jonny's cookIes.,Jonny gives her the cookies and the girl takes off all her clothes.,Hours later[COMMA] the towns people all run up to them in the middle of the street and they cry[COMMA]'' JONNY HUMPER HARDER''!!!,Little Jonny yells[COMMA]'' I'M TRYING[COMMA] I'M TRYING!!!''',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George of the Jungle lived all alone.,There was no one to have sex with him[COMMA] so instead he screwed a hole in a tree., One day[COMMA] he found a woman in the jungle and the call to do the wild thing became too much., Soon they were making out and getting pretty hot and heavy until George kicked the woman in the crotch.,What did you do that? she exclaimed.,"He replied[COMMA] ""Gotta check for squirrels."" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mother Superior called a young novice into her office one evening.,''Now dear[COMMA] I want you to give the Father his nightly bath., You are to do as he tells you and be sure to report to me in the morning[COMMA]'' she said., The novice agreed to do as she was told and went to prepare the Father's bath., Doing as she was told[COMMA] the novice washed the Father's hair and back., While she was doing this the Father told the novice that he had the key to heaven.,The Father told her that if his key to heaven fit her gate[COMMA] she would be saved., ,The next morning the novice entered Mother Superior's office.,''So how did it go last night dear?, He didn't try anything on you[COMMA] did he?'' she asked., ,''Oh[COMMA] Mother[COMMA] it was wonderful!, I did exactly as you told me to and when I was giving him his bath he told me the HE has the KEY TO HEAVEN!, I was amazed[COMMA] and he went on to tell me that if his key fit my gate[COMMA] I would be saved., And Mother[COMMA] his key FIT my gate!, And it was the most beautiful thing in the world!'',And the Mother said[COMMA] ''Damn that man!, He told me it was Gabriel's horn and I've been blowing it for 40 years!'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What is the difference between Cheerios and Georgia Tech?,A: Cheerios belong in a bowl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One day Stan comes home from a hard day at work.,He sees his wife bending down to clean the floor under the sofa.,So Stan goes over to his wife and starts fucking her from behind.,After he finishes[COMMA] he gives her a hard smack to the head.,His wife yells[COMMA] ''What was that for!?'',To which Stan replies[COMMA] ''That's for not checking to see who it was.'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King Arthur was about to embark on a long crusade.,Before doing so he called to Merlin to devise a cunning chastity belt for Gwenivere.,The belt contained a miniture guillotine.,Upon his return[COMMA] he called to his Knights of the Round Table and had them all strip from the waist down.,One by one[COMMA] he went to each knight and shook his head[COMMA] telling all those whose members were missing to get out of his sight.,That is until he came up to Lancelot.,Seeing that Lancelot was intact[COMMA] he exclaimed[COMMA] ''Now I knew I could count on you to be trusted.,Name anything at all and it is yours.'', Lancelot replied '' UNGH!UH!,UNGH!''',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What did the Lawyer say to the lesbian?, ,A: One slip of the tongue and you will be in s**t!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What has 18 legs and catches flies?,A: A baseball team.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: Why did the referee stop the leper hockey game?,A: There was a face-off in the corner.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A man named Jed went hunting near the border of Alabama and Georgia.,When he was going back to his truck[COMMA] a game warden came up to him and asked him what he had in the sack.,Three rabbits[COMMA] Jed said.,"The warden said[COMMA] ""Let me see one of those rabbits.""", ,So Jed pulled out one of the rabbits.,"The warden stuck his finger in the rabbit's butthole[COMMA] pulled it out[COMMA] smelled it and said[COMMA] ""This is a Georgia rabbit."" ","Then the warden said[COMMA] ""Let me see your Georgia huntin' license.""", ,So Jed showed him.,"Then the warden said[COMMA] ""Let me see another one of those rabbits.""",So Jed pulled out another rabbit.,"Then the warden stuck his finger in the rabbit's bunghole[COMMA] tasted it and said[COMMA] ""This is a Alamba rabbit."," Let me see your Alamba huntin' license.""", ,So Jed showed them to him.,"Then the Warden said[COMMA] ""Where you from boy?""","So Jed pulled his pants down and said[COMMA] ""You figure it out!""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There's a fine line between fishing and standing on the shore looking like an idiot.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"One roomate said to another[COMMA]""Man[COMMA] this morning I","woke up with white crud around my mouth."" "," His roomate replied[COMMA] ""Oh[COMMA] that's my fault -- I guess I missed."" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A man with a very small head walks into a bar[COMMA] and the bartender asks[COMMA] ""Why is your head so small?""","He replies[COMMA] ""I was stuck on this island and there was nothing but beautiful women there who had never seen a man before.",So I had sex with all of them.,Their leader[COMMA] who was the most beautiful of all[COMMA] had the power to grant anybody one wish[COMMA] so I asked her to have sex with me.,"She said she would grant me anything but that[COMMA] so I said[COMMA] ""Would a little head be out of the question?"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
