Q: Why couldn't the blonde add 10 and seven on a calculator?,A: She couldn't find the 10 key.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What's it called when a blonde blows in another blonde's ear?,A: Data transfer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'd like to see what's under your Kuiper Belt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What did one computer say to the other?,1.01011E+19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: How can you tell a blonde's been using the computer?,A: There's white-out all over the screen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft's Latest Venture, News just in of Microsoft's latest,venture: Microsoft Corporation has taken another step toward dominating every aspect of,American life with the introduction of Contraceptive98[COMMA] a suite of applications designed,for users who engage in sex.,Microsoft has been a pioneer in peer-to-peer connectivity and plug and play., It believes these technologies will,give it substantial leverage in penetrating the copulation enhancement market.,The product addresses two important user concerns: the need for virus protection and the need for a firewall to ensure the non-propagation of human beings., The Contraceptive98 suite consists,of three products: Condom98[COMMA] DeFetus 1.0 (from Sementec)[COMMA] and AIDScan 2.1 (from Norton,Utilities).,A free copy of Intercourse Explorer 4.0 is bundled in the package.,The suite,also comes in two expanded versions.,Contraceptive98 Professional is the Client/Server,edition[COMMA] for professionals in the sexual services sector.,Contraceptive98 Small Business,Edition is a package for startups[COMMA] aimed at the housewife and gigolo niches., While Contraceptive98 does not address nontraditional copulatory channels[COMMA] future plug-ins are planned for next year., OPERATION: Only one node in a,peer-to-peer connection needs to install the package., At installation[COMMA] the Condom98,software checks for minimum hardware.,If the user meets the requirements[COMMA] the product,installs and is sufficiently scaleable to meet most requirements.,After installation[COMMA],operation commences.,One precaution is that the user must be sure they have sufficient RAM to complete the session.,When the session is complete[COMMA] a disconnect is initiated[COMMA] and the user gets the message[COMMA] it is now safe to turn off your partner., DRAWBACKS: Usability testers report that frequent failures were a major concern during beta testing.,General Protection Fault was the most serious error encountered.,Early versions had numerous bugs[COMMA] but most of these have been eliminated.,The product needs to be installed each time its used., CONCLUSION: Contraceptive98 is a,robust product.,Despite its drawbacks[COMMA] it is reasonably good value for its $49.95 price,tag[COMMA] and is far superior to its shareware version.,Hopefully[COMMA] future releases (of the,software[COMMA] that is) will add missing functionality[COMMA] such as Backout and Restore[COMMA],uninterruptible Power Supply and Onboard Camera., Microsoft CEO Bill Gates is optimistic that ,Our contraceptive products will help users do to each other what we've been doing to our customers for years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I've got something you need to download from my hard drive.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Let's get embedded.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Your bra size looks like it's the same as my favorite computer language[COMMA] C++.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01101100110100010110011011!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Your mouth says no[COMMA] but I'll bet your avatar says yes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Come on[COMMA] I'm tired of Googling myself.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What do you get when you cross a gorilla and a computer?,A: Hairy Reasoner.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'd love to hack your box.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What's the difference between a woman and a computer?,A: Woman doesn't accept 3 1/2 inch floppies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One day[COMMA] Jeffrey complained to his friend[COMMA] ,My elbow really hurts[COMMA] I guess I should see a doctor., ,Don't do that!,There's a computer at the drug store that can diagnose anything[COMMA] quicker and cheaper than a doctor.,Simply put in a sample of your urine and the computer will diagnose your problem and tell you what you can do about it.,It only costs $10.,Jeffery figured he had nothing to lose[COMMA] so he took his urine sample to the drug store.,Finding the computer[COMMA] he poured in the sample and deposited the $10.00.,The computer started making some noise and various lights started flashing.,After a brief pause[COMMA] out popped a small slip of paper on which was printed:,&#147;You have tennis elbow.,Soak your arm in warm water.,Avoid heavy lifting.,It will be better in two weeks.&#148;, Late that evening while thinking how,amazing this new technology was and how it would change medical science forever[COMMA] he began to wonder if this machine could be fooled.,He decided to give it a try.,He mixed together some tap water[COMMA] a stool sample from his dog and urine samples from his wife and daughter., To top it off[COMMA] he masturbated into the concoction., He went back to the drug store[COMMA] located,the machine[COMMA] poured in the sample and deposited $10.00.,The computer again made the usual noise and printed out the following message:,&#147;Your tap water is too hard.,Get a water softener.,Your dog has worms.,Get him vitamins.,Your daughter's using cocaine.,Put her in a rehabilitation clinic.,Your wife's pregnant - twin girls.,They aren't yours.,Get a lawyer.,And if you don't stop jerking off[COMMA] your tennis elbow will,never get better.&#148;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A helicopter was flying around above Seattle when an electrical malfunction disabled all of the aircraft's electronic navigation and communications equipment., ,Due to the,clouds and haze[COMMA] the pilot could not determine the helicopter's position., The pilot saw a tall building[COMMA] flew toward,it[COMMA],circled[COMMA],and held up a handwritten sign that," said ""WHERE AM I?"" in large letters.",People in the tall building quickly,responded to,the,aircraft[COMMA] drew a large sign[COMMA] and held, it in a building,window., Their,"sign said ""YOU ARE IN A HELICOPTER.""",The pilot smiled[COMMA] waved[COMMA] looked at his map[COMMA], determined the course to steer to SEATAC, airport[COMMA] and landed safely.,After they were on the ground[COMMA] the copilot,asked,the,pilot,how he had done it.,I knew it had to be the Microsoft Building[COMMA] because they gave me a technically correct but completely useless answer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Gates goes to purgatory.,St.,"Peter says[COMMA] ""Now Bill[COMMA] you have done some good things[COMMA] and you have done some bad things.","Now I am going to let you decide where you want to go"".",First[COMMA] St.,Peter shows Bill an image of Hell with beautiful women running on beaches.,Then[COMMA] St Peter shows Bill an image of Heaven with robed angels playing harps on clouds.,Bill chooses Hell.,About a week later[COMMA] St.,Peter checks in on Bill in Hell and finds him being whipped by demons.,Bill says to St.,"Peter[COMMA] ""What happened to all the beautiful women and the beaches?""",St.,"Peter replies[COMMA] ""That was just the screen saver.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I need your help--my hard drive needs to be wiped.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
After Bill Gates wedding night[COMMA] his wife finally knew why he called his company Microsoft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What did the farmer say when he read that genetic engineers were implanting human DNA into goats?,"A: ""Hell[COMMA] I've been doing that for years.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why do they call it hyper text?, ,Too much JAVA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Let me show you why they call me...,The Webmaster.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A hurricane capsizes a cruise ship in the Caribbean.,A stock broker washes ashore on a remote island.,Outside of the beautiful scenery[COMMA] a fresh water pool and bananas[COMMA] there is little else.,One day[COMMA] after several months have passed[COMMA] a gorgeous woman in a small rowboat appears.,"Wow!,I can't believe I found another person! she exclaims.",Were you on the cruise ship[COMMA] too?,Yes[COMMA] I was[COMMA] he answers.,Where did you get that rowboat?,"Oh[COMMA] she says[COMMA] ""I found it washed up on the beach.","Where is your shelter?""",To be honest[COMMA] I've just been sleeping on the sand[COMMA] he says.,She invites him to her side of the island.,Once she's rowed them to her side[COMMA] she ties up the boat with hand-woven rope.,It took forever to find enough washed up strands to braid that length of rope[COMMA] she tells him.,She leads him to a cozy bungalow painted blue and green.,I scouted for felled trees and then stained the salvaged wood with these really juicy berries I found in the jungle[COMMA] she tells him.,Once inside[COMMA] she excuses herself to slip into something more comfortable.,She returns wearing revealing silk lingerie[COMMA] smiling provocatively.,I found some washed up suitcases from the cruise ship a few weeks ago[COMMA] she tells him.,"But now that I've found you[COMMA] I finally have a reason to wear something sexy again.,Tell me[COMMA] haven't you been lonely?,Isn't there something that you really[COMMA] really miss?,Something you've been longing for[COMMA] too?",Oh wow! exclaims the man.,You mean you've found the Internet[COMMA] too?!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What did the DNA say to the other DNA?,A: Do these genes make my butt look fat.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<li> Log on[COMMA] wait a sec[COMMA] then get a frightened look on your face and scream[COMMA] ""Oh my God!"," They've found me!"" and bolt.",<li> Laugh uncontrollably for about 3 minutes and then suddenly stop and look suspiciously at everyone who looks at you.,<li> When your computer is turned off[COMMA] complain to the monitor on duty that you can't get the darned thing to work., After he/she's turned it on[COMMA] wait 5 minutes[COMMA] turn it off again[COMMA] and repeat the process for a good half hour.,<li> Type frantically[COMMA] often stopping to look at the person next to you evilly.,<li> Before anyone else is in the lab[COMMA] connect each computer to a different screen than the one it's set up with.,"<li> Write a program that plays the ""Pokemon"" theme song and play it at the highest volume possible over and over again.",<li> Work normally for a while., Suddenly look amazingly startled by something on the screen and crawl underneath the desk.,<li> Ask the person next to you if they know how to tap into top-secret Pentagon files.,<li> Use AIM to make passes at people you don't know.,<li> Make a small ritual sacrifice to the computer before you turn it on.,<li> Bring a chainsaw[COMMA] but don't use it.," If anyone asks why you have it[COMMA] say[COMMA] ""Just in case..."" mysteriously.",<li> Type on VAX for awhile., Suddenly start cursing for 3 minutes about everything bad about your life., Then stop and continue typing.,<li> Enter the lab[COMMA] undress[COMMA] and start staring at other people as if they're crazy while typing.,<li> Light candles in a pentagram around your terminal before starting.,<li> Ask around for a spare zip disk., Offer $1., Keep asking until someone agrees.," Then[COMMA] pull a disk out of your fly and say[COMMA] ""Oops.","Forgot.""","<li> Every time you press return and there is processing time required[COMMA] pray[COMMA] ""Ohpleaseohpleaseohpleaseohpleaseohplease[COMMA]"" and scream ""YES!"" when it",finishes.,"<li> ""Disk fight!""",<li> Start making out with the person at the terminal next to you[COMMA] whether you know them or not.,<li> Put a straw in your mouth and put your hands in your pockets., Type by hitting the keys with the straw.,"<li> If you're sitting in a swivel chair[COMMA] spin around singing ""The Thong Song"" whenever there is processing time required.",<li> Draw a picture of a woman (or man) on a piece of paper and tape it to,your monitor., Try to seduce it., Act like it hates you and then,complain loudly that women (men) are worthless.,<li> Try to stick a Nintendo cartridge in the disk drive., When it doesn't work[COMMA] get the supervisor.,<li> When you start up a PC[COMMA] ask loudly where the smiling Apple face is.,<li> Print out the complete works of Shakespeare[COMMA] then when it's all done (two days later) say that all you wanted was a line or two.,<li> Sit and stare at the screen[COMMA] chomping on your nails., After doing,this for a while[COMMA] spit them out at the feet of the person next to you.,<li> Stare at the screen[COMMA] grind your teeth[COMMA] stop[COMMA] look at the person next to you., Repeat procedure[COMMA] making sure you never provoke the person enough to let them blow up[COMMA] as this releases tension[COMMA] and it is far more,effective to let them linger.,<li> If you have long hair[COMMA] take a typing break[COMMA] look for split ends[COMMA] cut,them[COMMA] and deposit them on your neighbor's keyboard as you leave.,<li> Put a large[COMMA] gold-framed portrait of the British royal family on your desk and loudly proclaim that it inspires you.,<li> Come to the lab wearing several layers of socks., Remove shoes and place,them on top of the monitor., Remove socks layer by layer and drape them,around the monitor.,Exclaim sudden haiku about the aesthetic beauty of,cotton on plastic.,<li>Take the keyboard and sit under the computer., Type up your paper like,this., Then go to the lab supervisor and complain about the bad working,conditions.,"<li> Laugh hysterically[COMMA] shout ""You will all perish in a great flood"" and continue working.",<li> Bring some dry ice and make it look like the computer is smoking.,<li> Assign a musical note to every key (ex.,the delete key is A flat).,Whenever you hit a key[COMMA] hum its note loudly., Write an entire paper this,way.,<li> Attempt to eat your computer mouse.,"<li> Borrow someone else's keyboard by reaching over[COMMA] saying ""Excuse me[COMMA] mind","if I borrow this for a sec?"" unplugging the keyboard[COMMA] and taking it.",<li> Bring in a bunch of magnets and have a ball.,<li> When doing calculations[COMMA] pull out an abacus and say that sometimes the,old ways are best.,<li> Play Pong for hours on the most powerful computer in the lab.,<li> Make a loud noise of hitting the same key over and over again until you,see that your neighbor is noticing., Then look at your neighbor's keyboard., Hit,his/her delete key several times[COMMA] erasing an entire word., While you do,"this[COMMA] ask: ""Does your delete key work?""",Shake your head[COMMA] and resume,hitting the space bar on your keyboard., Keep doing this until you've,deleted about a page of your neighbor's document., Then[COMMA] suddenly,exclaim:,"Well[COMMA] whaddya know?, I've been hitting the space bar this,whole time., No wonder it wasn't deleting!, Ha!",Print out your,document and leave.,<li> Remove your disk from the drive and hide it., Go to the lab monitor and complain that your computer ate your disk., (For special effects[COMMA] put some glue on or around the disk drive., Claim that the computer is drooling.),<li> Stare at your neighbor's screen[COMMA] look really puzzled[COMMA] burst,"out laughing and say ""You did that?"" loudly.", Keep laughing[COMMA] grab your,stuff and leave[COMMA] howling as you go.,<li> Point at the screen.,Chant in a made-up language while making elaborate,hand gestures for a minute or two., Press return or the mouse[COMMA] then leap,"back and yell[COMMA] ""COVEEEEERRRRR!""",Peek up from under the table[COMMA] walk back,"to the computer and say ""Oh[COMMA] good."," It worked this time[COMMA]"" and calmly",start to type again.,<li> Keep looking at invisible bugs and trying to swat them.,<li> See who's online.,Send a total stranger a talk request., Talk to them,like you've known them all your lives., Hang up before they get a chance,to figure out you're a total stranger.,<li> Bring a small tape player with a tape of really absurd sound effects.,Pretend it's the computer and look really lost.,<li> Pull out a pencil., Start writing on the screen., Complain that the lead doesn't work.,<li> Come into the computer lab wearing several extra-stinky species of flowers in your hair., Smile incessantly.," Type a sentence[COMMA] then laugh happily exclaim[COMMA] ""You're such a marvel!"" and kiss the screen.", Repeat this after every sentence., As your ecstasy mounts[COMMA] also hug the keyboard.,Finally[COMMA] hug your neighbor[COMMA] the computer assistant[COMMA] and then walk out.,"<li> Run into the computer lab[COMMA] shout[COMMA] ""The Apocalypse is here!"" then calmly sit down and begin to type.","<li> Quietly walk into the computer lab with a Black and Decker chainsaw[COMMA] rev 'er up[COMMA] and then walk up to the nearest person and say[COMMA] ""Give me that computer or you'll be feeding my pet crocodile for the next week.""",<li> Two words: Tesla Coil.
What's the difference between a blonde and Windows 95?, ,The blonde operates on more laptops!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Much like a shuttle launch[COMMA] my rocket also comes in multiple stages.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: How many IT guys does it take to screw in a light bulb?,A: None[COMMA] that's a Facilities problem.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How many IBM employees does it take to screw in a light bulb?, ,10[COMMA]000: one to hold up the light bulb[COMMA] and 9[COMMA]999 to turn the building around.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
