A blonde goes to work in tears.,Her boss asks[COMMA] [QUOTE]What's wrong?[QUOTE],She says[COMMA] [QUOTE]My mom died.[QUOTE] ,He told her to go home[COMMA] but she said[COMMA] [QUOTE]No[COMMA] I'll be fine.[QUOTE] ,Later that day[COMMA] her boss finds her crying again.,He says[COMMA] [QUOTE]What's wrong?[QUOTE] ,She replies[COMMA] [QUOTE]I just talked to my sister[COMMA] and her mom died[COMMA] too![QUOTE] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I wanna fax you up.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A man working with an electric saw accidentally cuts off all of his fingers.,At the emergency room[COMMA] his doctor says[COMMA] [QUOTE]Give me the fingers[COMMA] and I'll see what I can do.[QUOTE],The injured man repies[COMMA] [QUOTE]But I don't have the fingers![QUOTE],[QUOTE]Why didn't you bring them?[QUOTE] the doctor asks.,The injured man responds[COMMA] [QUOTE]Doc[COMMA] I couldn't pick them up.[QUOTE] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An engineer crosses a road when a frog calls out to him[COMMA] [QUOTE]If you kiss me[COMMA] I'll turn into a beautiful princess.[QUOTE],He bends over[COMMA] picks up the frog and puts it in his pocket.,The frog speaks up again and says[COMMA] [QUOTE]If you kiss me and turn me back into a beautiful princess[COMMA] I will stay with you for one week.[QUOTE],The engineer takes the frog out of his pocket[COMMA] smiles at it and returns it to the pocket.,The frog then cries out[COMMA] [QUOTE]If you kiss me and turn me back[COMMA] I'll do whatever you say![QUOTE],Again the engineer takes the frog out[COMMA] smiles at it and puts it back into his pocket.,Finally[COMMA] the frog asks[COMMA] [QUOTE]What is the matter?,I've told you I'm a beautiful princess[COMMA] I'll stay with you for a month and do whatever you say.,What more do you want?[QUOTE], The engineer says[COMMA] [QUOTE]Look[COMMA] I'm an engineer.,I don't have time for a girlfriend[COMMA] but a talking frog[COMMA] now that's cool![QUOTE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lem: [QUOTE]I got fired from my job as a bank guard.[QUOTE],Clem: [QUOTE]That's awful.,What happened?[QUOTE],Lem: [QUOTE]Well[COMMA] a thief came in[COMMA] and I drew my gun.,I told him that if he took one more step[COMMA] I'd let him have it.[QUOTE],Clem: [QUOTE]What did the thief do then?[QUOTE],Lem: [QUOTE]He took one more step[COMMA] so I let him have it.,I didn't want that stupid gun anyway.[QUOTE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A helicopter was flying around above Seattle when an electrical malfunction disabled all of the aircraft's electronic navigation and communications equipment.,Due to the,clouds and haze[COMMA] the pilot could not determine the helicopter's position., The pilot saw a tall building[COMMA] flew toward,it[COMMA],circled[COMMA],and held up a handwritten sign that, said [QUOTE]WHERE AM I?[QUOTE] in large letters.,People in the tall building quickly,responded to,the,aircraft[COMMA] drew a large sign[COMMA] and held, it in a building,window., Their,sign said [QUOTE]YOU ARE IN A HELICOPTER.[QUOTE],The pilot smiled[COMMA] waved[COMMA] looked at his map[COMMA], determined the course to steer to SEATAC, airport[COMMA] and landed safely.,After they were on the ground[COMMA] the copilot,asked,the,pilot,how he had done it.,[QUOTE]I knew it had to be the Microsoft Building[COMMA] because they gave me a technically correct but completely useless answer.[QUOTE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noticing a mistake in St.,Peter's roster[COMMA] God calls Satan; [QUOTE]It seems you accidentally received some of my professionals down there: a teacher[COMMA] a doctor and a farmer.[QUOTE],[QUOTE]Yeah[COMMA][QUOTE] Satan replies.,[QUOTE]All the more for me![QUOTE],God replies[COMMA] [QUOTE]You better send them up here immediately.[QUOTE],Satan says[COMMA] [QUOTE]No way.,I'm keeping them.[QUOTE],God says[COMMA] [QUOTE]Send them up here[COMMA] or I'll sue the horns right off you.[QUOTE],Satan laughs uproariously[COMMA] [QUOTE]Yeah[COMMA] right.,And just where are YOU going to get a lawyer?[QUOTE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why'd the lawyer go to Heaven?,Hell was full.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
After Bill Gates wedding night[COMMA] his wife finally knew why he called his company Microsoft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'll try not to get any human resources on you.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Inflatable dart board.,2,Glow-in-the-dark sunglasses.,3,A book on how to read.,4,Solar-powered flashlight.,5,Screen door on a submarine.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanna give me a desk job?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby[COMMA] you are 401Kute!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mother Superior called a young novice into her office one evening.,''Now dear[COMMA] I want you to give the Father his nightly bath., You are to do as he tells you and be sure to report to me in the morning[COMMA]'' she said., The novice agreed to do as she was told and went to prepare the Father's bath., Doing as she was told[COMMA] the novice washed the Father's hair and back., While she was doing this the Father told the novice that he had the key to heaven.,The Father told her that if his key to heaven fit her gate[COMMA] she would be saved.,The next morning the novice entered Mother Superior's office.,''So how did it go last night dear?, He didn't try anything on you[COMMA] did he?'' she asked.,''Oh[COMMA] Mother[COMMA] it was wonderful!, I did exactly as you told me to and when I was giving him his bath he told me the HE has the KEY TO HEAVEN!, I was amazed[COMMA] and he went on to tell me that if his key fit my gate[COMMA] I would be saved., And Mother[COMMA] his key FIT my gate!, And it was the most beautiful thing in the world!'',And the Mother said[COMMA] ''Damn that man!, He told me it was Gabriel's horn and I've been blowing it for 40 years!'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What do you call a lawyer who doesn't know the,law?, A judge.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: Why have scientists started using lawyers for experiments instead of rats?,A: They don't become so attached to the lawyers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What do you call a lawyer who has gone bad?,A: Senator.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: How do you stop a lawyer from drowning?,A: Shoot him before he hits the water.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve lies dying[COMMA] as Jack[COMMA] his law partner of 40 years[COMMA] sits at his bedside.,[QUOTE]Jack[COMMA] I've got to confess -- I've been sleeping with your wife for 30 years[COMMA] I'm the father of your daughter[COMMA] and I've been stealing from the firm for a decade.[QUOTE],[QUOTE]Relax[COMMA][QUOTE] says Jack[COMMA] [QUOTE]and don't think another thing about it.,I'm the one who put arsenic in your martini.[QUOTE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A doctor notices a sidewalk stand that says 'brains for sale.' He, goes over to investigate and sees a sign that says, 'Doctor brains $8.00 a pound&#146; and another sign that, says &#145;Paramedic brains $12.00 a pound[COMMA] Nurses, brains $30.00 a pound[COMMA] truck driver $40.00 a pound, and lawyers brains $90.00 a pound.&#146;,So he asks the man behind the cashregister[COMMA] [QUOTE]how, come his brains are only worth 8.00 and a lawyer's, worth 90.00?[QUOTE] ,The man replies[COMMA] [QUOTE]do you know how, many lawyers it takes to make a pound of brains?[QUOTE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A guy phones a law firm and says[COMMA] [QUOTE]I want to speak to my lawyer.[QUOTE] The receptionist says[COMMA] [QUOTE]I'm sorry[COMMA] but your lawyer died last week.[QUOTE] The next day the same guy phones the law firm and says[COMMA] [QUOTE]I want to speak to my lawyer.[QUOTE] Once again the receptionist replies[COMMA] [QUOTE]I'm sorry[COMMA] but your lawyer died last week.[QUOTE] ,The next day the guy makes his regular call to the law firm and say[COMMA] [QUOTE]I want to speak to my lawyer.[QUOTE] [QUOTE]Excuse me sir[COMMA][QUOTE] the receptionist says[COMMA] [QUOTE]but this is third time I've had to tell you that your lawyer died last week.,Why do you keep calling?[QUOTE] The guy replies[COMMA] [QUOTE]Because I love hearing it![QUOTE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why was the lawyer skimming the Bible right before he died?, He was looking for loopholes!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What do you call an honest lawyer?,An oxymoron.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When do you know a lawyer is telling the truth?, When his lips are shut.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A good lawyer knows the law; a great lawyer knows the judge.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A lawyer is standing in a long line at the box office.,Suddenly[COMMA] he feels a pair of hands kneading, his shoulders[COMMA] back[COMMA] and neck.,The lawyer turns, around.,[QUOTE]What, the hell do you think you're doing?[QUOTE],[QUOTE]I'm a chiropractor[COMMA] and, I'm just keeping in practice while I'm waiting in, line.[QUOTE],[QUOTE]Well[COMMA] I'm a lawyer[COMMA] but you don't see me screwing the guy in front of, me[COMMA] do you?[QUOTE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What's the difference between a lawyer and God?,God doesn't think he's a lawyer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How come you can't find lawyers sunbathing on the beach?,Cats keep covering them over with sand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In a murder trial[COMMA] the defense attorney was cross-examining the coroner:,[QUOTE]Before you signed the death certificate[COMMA] did you take the pulse[COMMA] listen to the heart or check for breathing?[QUOTE],[QUOTE]No.[QUOTE],[QUOTE]So[COMMA] when you signed the death certificate[COMMA] you weren't sure the man was dead[COMMA] were you?[QUOTE],[QUOTE]Well[COMMA] the man's brain was in a jar on my desk[COMMA] but I suppose he could have still been practicing law for a living.[QUOTE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What do you have when 100 lawyers are buried up to their necks in sand?,A: Not enough sand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What's the difference between a catfish and a lawyer?,A: One's a slimy scum-sucking bottom-dwelling scavenger; the other is a fish.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the difference between a leech and a lawyer?,The leech stops sucking you dry after you're dead.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What did the Lawyer say to the lesbian?,A: One slip of the tongue and you will be in s**t!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition of a Lawyer: A person who puts two men into a fight and runs off with their clothes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: How many engineers does it take to change a light bulb?,A: You need 250 just to lobby for the research grant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: How many IT guys does it take to screw in a light bulb?,A: None[COMMA] that's a Facilities problem.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: How many lawyers does it take to screw in a light bulb?,A: Four: one to climb the ladder[COMMA] one to hold the ladder[COMMA] one to shake the ladder and one to sue the ladder company.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: How many lawyers does it take to screw a light bulb?,A: One but it has to have a good case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How many IBM employees does it take to screw in a light bulb?,10[COMMA]000: one to hold up the light bulb[COMMA] and 9[COMMA]999 to turn the building around.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: Why didn't the skeleton go to the dance?,A: He had no body to go with.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What's the difference between F.Lee Bailey and a generalized joke about Lawyers?,One is boorish rude and insensitive[COMMA] the other is just a joke!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: Did you hear about the logger that went to Alaska?,A: He came back a husky f**ker.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two lawyers are walking down the street[COMMA] when a beautiful woman walks by.,[QUOTE]Boy[COMMA] I'd like to screw her[COMMA][QUOTE] says one lawyer.,[QUOTE]I agree[COMMA][QUOTE] says the other., [QUOTE]But out of what?[QUOTE] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How can you tell when a lawyer is about to lie?, His lips start moving.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blonde: [QUOTE]I'm on the road a lot[COMMA] and my clients are complaining that they can never reach me.[QUOTE],Psychiatrist: [QUOTE]Don't you have a cell phone?[QUOTE],Blonde: [QUOTE]They're too expensive[COMMA] so I did the next best thing: I put a mailbox in my car.[QUOTE],Psychiatrist: [QUOTE]And do you receive any letters?[QUOTE],Blonde: [QUOTE]No[COMMA] but I figure it's because when I'm driving around[COMMA] my zip code keeps changing.[QUOTE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A couple wants a divorce[COMMA] but first they must decide who will be the main guardian of their child.,The jury asks both the man and woman for a reason why they should be the one to keep the child.,So the jury asks the woman first.,She says[COMMA] [QUOTE]Well I carried,this child around in my stomach for nine months and I had to go through a painful birth,process[COMMA] this is my child and apart of me.[QUOTE] The jury is impressed and then turns to ask the man the same question.,The man replies[COMMA] [QUOTE]OK[COMMA] I take a coin and put it in the drink,machine and a drink comes out[COMMA] now tell me who does the drink belong to me or the machine[QUOTE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What's the definition of innocence?,A: A nun working in a condom factory[COMMA] thinking she's making sleeping bags for mice.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betty and Tim die in a car accident on the eve of their wedding.,In Heaven[COMMA] they ask St.,Peter if they can still be married.,[QUOTE]Well[COMMA] let me find out if this is possible., Stay here and I will be right back.[QUOTE],Six months pass and Peter returns.,[QUOTE]Yes[COMMA] we can do this for you.[QUOTE],The couple asks[COMMA] [QUOTE]Well[COMMA] as we have spent so much time together waiting for your answer[COMMA] we need to know that if things don't work out[COMMA] is there a possibility that we can be divorced?[QUOTE],To which St.,Peter answers[COMMA] [QUOTE]It took me six months to find a priest up here -- how long do you think it will take me to find a lawyer?[QUOTE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
