Q: What is the only way to keep your money from the casinos in Las Vegas?,A: When you get off the plane[COMMA] walk into the propellers.,,,,,,,,,,,,,,,,,,,
Children in the backseat can cause accidents.,Accidents in the backseat can cause children.,,,,,,,,,,,,,,,,,,,
Is there an airport nearby[COMMA] or is that my heart taking off?,,,,,,,,,,,,,,,,,,,,
A blonde sees a flier on a bulletin board that reads[COMMA] [QUOTE]Cruise -- Only $5.[QUOTE] She goes to the address on the flier and hands the receptionist $5.,The receptionist nods to a burly man reading a newspaper.,He walks over to the blonde and knocks her unconscious.,The blonde wakes up tied to a log floating down river.,To her right[COMMA] she sees one of her blonde friends.,[QUOTE]Do you think they're going to serve food on this trip?[QUOTE] she asks., Her friend replies[COMMA] [QUOTE]They didn't last year.[QUOTE] ,,,,,,,,,,,,,,
A police officer pulls over a driver and informs him that he has just won $5[COMMA]000 in a safety competition[COMMA] all because he is wearing his seat belt.,[QUOTE]What are you going to do with the prize money?[QUOTE] the officer asks.,The man responds[COMMA] [QUOTE]I guess I'll go to driving school and get my license.[QUOTE],His wife says[COMMA] [QUOTE]Officer[COMMA] don't listen to him.,He's a smart aleck when he's drunk.[QUOTE],The guy in the back seat pops up out from under the blanket and says[COMMA] [QUOTE]I knew we wouldn't get far in this stolen car.[QUOTE],Just then a knock comes from the trunk and a voice calls out[COMMA] [QUOTE]Are we over the border yet?[QUOTE],,,,,,,,,,,,,,
Q: Did you hear about the logger that went to Alaska?,A: He came back a husky f**ker.,,,,,,,,,,,,,,,,,,,
A few days after her husband's death[COMMA] a grieving widow accidentally receives an e-mail from a man waiting for his wife in Miami.,The e-mail reads:,Dearest Wife[COMMA],Just got checked in.,Everything prepared for your arrival tomorrow.,P.S.,Sure is hot down here.,,,,,,,,,,,,,,
A blonde buys a used sports car.,However[COMMA] during the first joy ride[COMMA] the engine jerks and the car slows to a stop.,The blonde calls a tow truck.,The mechanic sets to work[COMMA] and 10 minutes later[COMMA] the car is running again.,[QUOTE]What was the matter?[QUOTE] she asks.,[QUOTE]Simple really[COMMA] just sh*t in the carburetor[QUOTE] he replies.,Taken aback she asks[COMMA] [QUOTE]Oh[COMMA] how many times a week do I have to put that in?[QUOTE],,,,,,,,,,,,,,
Q: Why do birds fly south for the winter?,A: It's too far to walk.,,,,,,,,,,,,,,,,,,,
She is so blonde that when she missed the 44 bus[COMMA] she took the 22 bus twice.,,,,,,,,,,,,,,,,,,,,
Two tourists were driving through Louisiana.,As they approached Natchitoches[COMMA] they started arguing about the pronunciation of the town.,They went back and forth until they stopped for lunch.,At the counter[COMMA] one tourist asked the employee[COMMA] [QUOTE]Before we order[COMMA] could you please settle an argument for us?,Would you please pronounce where we are very slowly?[QUOTE],The guy leaned over the counter and said[COMMA] [QUOTE]Burrr-gerrr Kiiing.[QUOTE],,,,,,,,,,,,,,,
I got to Flagstaff[COMMA] Arizona[COMMA] and I asked the guy at the hotel[COMMA] 'Excuse me[COMMA] where can I find the black community?' 'Oh[COMMA] well he's on vacation this week.,We'll tell him you stopped by.',,,,,,,,,,,,,,,,,,,
Would you like some warm nuts?,,,,,,,,,,,,,,,,,,,,
A farmer is in the middle of plowing his field when his tractor runs out of gas.,He needs to get back to the farm[COMMA] but it's too far for him and his dog[COMMA] Old Joe[COMMA] to walk.,He wanders out to the road and flags down a sports car.,The driver says[COMMA] [QUOTE]I'll give you a ride[COMMA] but that dog can't get in my car.[QUOTE],The farmer says[COMMA] [QUOTE]Don't worry.,Old Joe will keep up.[QUOTE],The driver decides to show off and open up the engine for max speed.,Just as he's going into fifth gear[COMMA] he looks out the window and sees Old Joe right beside him.,In amazement[COMMA] he slams on the brakes and Old Joe comes to a halt.,The driver jumps out[COMMA] exclaiming[COMMA] [QUOTE]He's the most incredible dog I've ever seen!,Is there something special about that collar he's wearing?[QUOTE],The farmer shakes his head and says[COMMA] [QUOTE]That's not a collar.,That's his a**hole.,He's not used to stopping that fast.[QUOTE],,,,,,,
Q: How many people can you fit in one Honda?,A: Well[COMMA] the Bible said that all 12 disciples were in one Accord.,,,,,,,,,,,,,,,,,,,
Want to get out of this place?,I've got an hour left before my bus pass expires.,,,,,,,,,,,,,,,,,,,
Four blondes drive to a bar in their old pickup truck.,Three sit in the cab[COMMA] and one sits in the bed of the truck.,The three blondes go into the bar and order a round of shots.,Almost an hour later[COMMA] the fourth blonde finally joins them.,[QUOTE]Where have you been?[QUOTE] they ask.,She responds[COMMA] [QUOTE]Well[COMMA] you all forgot to open the tailgate![QUOTE] ,,,,,,,,,,,,,,,
A blonde canvassed a wealthy neighborhood looking for odd jobs.,She went to the front door of the first house and asked the owner if he had anything for her to do.,[QUOTE]Well[COMMA] you can paint my porch.,How much will you charge?[QUOTE],She replied[COMMA] [QUOTE]How about $50?[QUOTE],The man agreed and told her the paint was in the garage.,A short time later[COMMA] the blonde came to the door to collect her money.,[QUOTE]You're finished already?[QUOTE] he asked.,[QUOTE]Yes[COMMA][QUOTE] the blonde answered[COMMA] [QUOTE]and I had paint left over[COMMA] so I gave it two coats.[QUOTE],Impressed[COMMA] the man reached in his pocket for the $50.,[QUOTE]And by the way[COMMA][QUOTE] the blonde added[COMMA] [QUOTE]that's not a Porsche; it's a Ferrari.[QUOTE],,,,,,,,,,
A Scottish man[COMMA] an Englishman and an Irishman sit in a pub and discuss the best pubs around.,The Englishman says[COMMA] [QUOTE]There's a pub in the West Midlands where the landlord buys you a drink for every one that you buy.[QUOTE],The Scot is not impressed and says[COMMA] [QUOTE]That's nothing!,In the Highlands[COMMA] every time you buy a drink[COMMA] the landlord buys you five.[QUOTE],The Irishman[COMMA] totally unimpressed[COMMA] says[COMMA] [QUOTE]That's nothing.,In Dublin there's this pub where the landlord buys your drinks all night[COMMA] and then when the bar closes[COMMA] he takes you into a room and makes love to you.[QUOTE],The Scot and Englishman are well impressed and ask if the Irishman goes there a lot.,He replies [QUOTE]No[COMMA] but my sister told me all about it.[QUOTE],,,,,,,,,,,,,
A guy gets pulled over for speeding on a rainy day.,The cop says[COMMA] [QUOTE]Isn't it kind of stupid to be driving so fast in this weather?[QUOTE],The driver says[COMMA] [QUOTE]Who's stupid?,I'm dry in my car.,You're the one who's standing out in the rain.[QUOTE],,,,,,,,,,,,,,,,
-- None for me[COMMA] thanks.,That Skoal will do a number on your teeth.,-- Tampax!,Get your Tampax here!,-- Hey[COMMA] shut up!,I can't hear the race!,#NAME?,Man[COMMA] that's sick.,-- My God[COMMA] this is a splendid Merlot.,-- Hey[COMMA] you with the large breasts[COMMA] out of the way.,We're trying to watch a race here.,-- Jeeves[COMMA] be a good man and retrieve the Wall Street Journal from my attach,case.,Then fetch me some clotted cream for my scone.,-- What a coincidence[COMMA] Hank[COMMA] all my friends are boycotting Hooters[COMMA] too.,#NAME?,-- Good morning[COMMA] Mr.,Trickle.,We at 'Depends' understand you're looking for a new corporate sponsor.,-- Filling in for Dale 'The Intimidator' Earnhardt today is substitute driver[COMMA] Michael 'Lord of the Dance' Flatley.,-- And now[COMMA] singing our national anthem[COMMA] international recording artist Boy George.
A blonde's car breaks down.,A cop pulls up and inquires about the group of naked men standing next to her car.,The blonde says[COMMA] [QUOTE]They're my emergency flashers.[QUOTE],,,,,,,,,,,,,,,,,,
It was a white lady in a convertible with the convertible down -- I walked past; she locked the door.,I smacked her in the back of the head.,,,,,,,,,,,,,,,,,,,
A man goes to his seat on an airplane and finds a parrot in the seat next to him.,Once in the air[COMMA] the stewardess comes by[COMMA] and when the man asks her for a coffee[COMMA] the parrot squawks[COMMA] [QUOTE]And get me a whiskey[COMMA] you cow![QUOTE],The flustered stewardess brings back a whiskey for the parrot[COMMA] but forgets the coffee.,When the man points this out[COMMA] the parrot immediately drains its glass and yells[COMMA] [QUOTE]And get me another whiskey[COMMA] you cow![QUOTE],The upset stewardess returns shortly with a whiskey for the parrot[COMMA] but still no coffee.,The man decides to try the parrot's approach: [QUOTE]I've asked you twice for a coffee[COMMA] cow[COMMA] now go and get it![QUOTE],Two burly stewards grab the man and the parrot[COMMA] take them to the emergency exit and throw them out.,As they eject from the plane[COMMA] the parrot turns to the man and says[COMMA] [QUOTE]You know[COMMA] for someone who can't fly[COMMA] you're a mouthy S.O.B.![QUOTE],,,,,,,,,,,,,
Mr.,Johnson's wife of 50 years suggested they take a cruise: [QUOTE]We could go somewhere for a week[COMMA] and make wild love like we did when we were young.[QUOTE] He thought it over and agreed.,He went to the pharmacy and bought a bottle of seasick pills and a tube of lubricant.,Upon returning home[COMMA] his wife said [QUOTE]I've been thinking[COMMA] there's no reason we can't go for a month.[QUOTE],Mr.,Johnson went back to the pharmacy and asked for 12 bottles of seasick pills and a tube of lubricant.,When he returned his wife said[COMMA] [QUOTE]Since the children are on their own[COMMA] what's stopping us from cruising the world?[QUOTE],He went back and bought 200 bottles of seasick pills and more tubes of lubricant.,The pharmacist finally had to ask: [QUOTE]You know[COMMA] Mr.,Johnson[COMMA] I don't mean to pry[COMMA] but if it makes you that sick[COMMA] why the hell do you do it?[QUOTE],,,,,,,,,,,
When customs finds something in your butt[COMMA] how do you act surprised?,,,,,,,,,,,,,,,,,,,,
Sorry[COMMA] no creams or liquids allowed-- but if you leave your cream here[COMMA] I'll make you cream later.,,,,,,,,,,,,,,,,,,,,
Wow[COMMA] you have a lot of baggage.,Do you need to unload on me?,,,,,,,,,,,,,,,,,,,
Two girls speed down the highway at 90 mph.,[QUOTE]Hey[COMMA][QUOTE] asks the brunette at the wheel.,[QUOTE]Do you see any cops following us?[QUOTE],The blonde turns around.,[QUOTE]As a matter of fact[COMMA] I do.[QUOTE],[QUOTE]Damn![QUOTE] says the brunette.,[QUOTE]Are his flashers on?[QUOTE] ,The blonde turns around again.,[QUOTE]Yup.,Nope.,Yup.,Nope.,Yup.[QUOTE],,,,,,,,
Do you believe in love at first sight[COMMA] or should I push my beverage cart by you again?,,,,,,,,,,,,,,,,,,,,
Q: What's the difference between a dead skunk in the road and a dead lawyer in the road?,A: There are skid marks in front of the skunk.,,,,,,,,,,,,,,,,,,,
We don't allow smoking in the lavatories[COMMA] but we can make an exception for my pole.,,,,,,,,,,,,,,,,,,,,
Harry and Martha drank their coffee as they listened to the morning weather report.,[QUOTE]There will be three to five inches of snow today.,You must park your cars on the odd-numbered side of the street.[QUOTE],Harry got up from his coffee to move the car.,Two days later[COMMA] they sat down with their cup of coffee and listened the weather forecast.,[QUOTE]There will be two to four inches of snow today.,You must park your cars on the even-numbered side of the street.[QUOTE],Harry got up from his coffee to move the car.,Three days later[COMMA] they tuned in to the weather report.,[QUOTE]There will be six to eight inches of snow today.,You must park your cars on the...,.[QUOTE] The power went off.,He said to Martha[COMMA] [QUOTE]What am I going to do now?[QUOTE],Martha said[COMMA] [QUOTE]Just leave the car in the garage.[QUOTE],,,,,,,
She is so blonde[COMMA] when she went to the airport and saw a sign that said [QUOTE]Airport Left[COMMA][QUOTE] she turned around and went back home.,,,,,,,,,,,,,,,,,,,,
Two ladies[COMMA] a Yankee and a Southern Belle[COMMA] are sitting next to each other on a plane.,The Southern Belle turns to the Yankee and asks[COMMA] [QUOTE]So[COMMA] where y'all from?[QUOTE],The Yankee replies[COMMA] [QUOTE]I am from a place where we do not end our sentences with a preposition.[QUOTE],Without missing a beat[COMMA] the Southern Belle bats her lashes and asks[COMMA] [QUOTE]So[COMMA] where y'all from[COMMA] bitch?[QUOTE],,,,,,,,,,,,,,,,,
NASA decided to send a shuttle into space with two monkeys and an astronaut on board.,After months of training[COMMA] they placed all three in the shuttle and prepared for launch.,Mission Control Center announced[COMMA] [QUOTE]This is Mission Control to Monkey One.,Do your stuff.[QUOTE],The first monkey began frantically typing and the shuttle took off.,Two hours later[COMMA] NASA's mission control center announced[COMMA] [QUOTE]This is Mission Control to Monkey Two.,Do your stuff.[QUOTE],The second monkey started typing like mad and the shuttle separated from the empty fuel tanks.,Another two hours later Mission Control Center announced[COMMA] [QUOTE]This is Mission Control to Astronaut...,[QUOTE],At this[COMMA] the astronaut shouted [QUOTE]I know[COMMA] I know -- feed the monkeys and don't touch anything.[QUOTE],,,,,,,,,,
Plane: How do you fly so fast?,Rocket: You'll know when your ass is on fire.,,,,,,,,,,,,,,,,,,,
A car slows down at a stop sign and keeps driving.,A cop sees him and pulls him over.,The cop asks[COMMA] [QUOTE]Why didn't you stop?[QUOTE],The man says[COMMA] [QUOTE]I slowed down.[QUOTE],The cop pulls out his nightstick and starts beating him.,[QUOTE]Now[COMMA][QUOTE] the cop says[COMMA] [QUOTE]do you want me to stop or slow down?[QUOTE],,,,,,,,,,,,,,,
Two blondes wait at a bus stop.,A bus pulls up and opens the door.,One of the blondes leans inside and asks the driver[COMMA] [QUOTE]Will this bus take me to 5th Avenue?[QUOTE],The bus driver says[COMMA] [QUOTE]No[COMMA] I'm sorry.[QUOTE],The other blonde leans inside and asks[COMMA] [QUOTE]How about me?[QUOTE],,,,,,,,,,,,,,,,
On the drive over to his girlfriend's house[COMMA] a guy listens to a call-in sex show on the radio.,The host is explaining that masturbating before sex can help men last longer.,The guy decides to give it a try.,He pulls his truck over on the side of the highway[COMMA] gets out and crawls underneath.,Satisfied with the privacy[COMMA] he undoes his pants[COMMA] closes his eyes and starts to masturbate.,Close to orgasm[COMMA] he feels a tap on the bottom of his boot.,Not wanting to lose his fantasy when he's so close[COMMA] he squeezes his eyes shut tighter and stammers[COMMA] [QUOTE]J-just checking the r-rear a-axle.,Almost g-got it![QUOTE],[QUOTE]Well[COMMA] you might as well check your brakes while you're down there because your truck rolled down the hill five minutes ago.[QUOTE],,,,,,,,,,,,
Q: Why was the blonde disappointed with her trip to England?,A: She found out Big Ben was only a clock.,,,,,,,,,,,,,,,,,,,
A guy surprises his fiancee by having her name tattooed on his penis.,In flowing script it says[COMMA] [QUOTE]Wendy.[QUOTE],On their Jamaican honeymoon[COMMA] he uses a public bathroom and sees a Jamaican man who seems to have the same name tattooed on his penis.,The husband asks[COMMA] [QUOTE]So your girl's name is Wendy[COMMA] too?[QUOTE],The guy looks down at his penis and says[COMMA] [QUOTE]No[COMMA] once de wrinkles come out[COMMA] it says[COMMA] 'Welcome to Jamaica[COMMA] mon!,Have a nice day.'[QUOTE],,,,,,,,,,,,,,,
A policeman pulls a driver over for swerving in and out of lanes on the highway.,He tells the guy to blow into a breathalyzer.,[QUOTE]I can't do that[COMMA] officer -- I'm an asthmatic.,I could hae an asthma attack if I blow into that tube.[QUOTE],[QUOTE]OK[COMMA] we'll just get a urine sample down at the station.[QUOTE],[QUOTE]Can't do that either[COMMA] officer.,I'm a diabetic.,I could get low blood sugar if I pee in a cup.[QUOTE],[QUOTE]Alright[COMMA] we could get a blood sample.[QUOTE],[QUOTE]Can't do that either[COMMA] officer.,I'm a hemophiliac.,If I give blood[COMMA] I could die.[QUOTE],[QUOTE]Fine then[COMMA] just walk this white line.[QUOTE],[QUOTE]Can't do that either[COMMA] officer.[QUOTE],[QUOTE]Why not?[QUOTE],[QUOTE]Because I'm drunk.[QUOTE] ,,,,,
A Frenchman[COMMA] an Englishman and a New Yorker are exploring the jungle and are captured by a fierce tribe.,The chief tells them[COMMA] [QUOTE]The bad news is that we've caught you[COMMA] we're going to kill you[COMMA] and then use your skins to build a canoe.,The good news is that you get to choose how you die.[QUOTE],The Frenchman says[COMMA] [QUOTE]I take ze poison.[QUOTE] The chief gives him some poison; the Frenchman says[COMMA] [QUOTE]Vive la France![QUOTE] and drinks it down.,The Englishman says[COMMA] [QUOTE]A pistol for me[COMMA] please.[QUOTE] The chief gives him a pistol; the Brit points it at his head[COMMA] says[COMMA] [QUOTE]God save the Queen![QUOTE] and blows his brains out.,The New Yorker says[COMMA] [QUOTE]Gimme a fork.[QUOTE] The chief is puzzled[COMMA] but he shrugs and gives him a fork.,The New Yorker takes the fork and jabs himself all over -- the stomach[COMMA] the sides[COMMA] the chest[COMMA] everywhere.,Blood gushes from every hole.,The chief screams[COMMA] [QUOTE]What are you doing?[QUOTE],The New Yorker looks at the chief and says[COMMA] [QUOTE]So much for your canoe[COMMA] a**hole![QUOTE],,,,,,,,,,,
Q: Why is a blonde's top speed 68 mph?,A: Because at 69 she blows a rod.,,,,,,,,,,,,,,,,,,,
Q: Why does a traffic light turn red?,A: If you had to change in front of everyone[COMMA] you'd turn red[COMMA] too.,,,,,,,,,,,,,,,,,,,
Q: Four lawyers drive a minivan over a cliff.,What's the tragedy?,A: The minivan could've held eight lawyers.,,,,,,,,,,,,,,,,,,
A cheap tourist in a Mexican town known for prostitution picks up a hooker.,After paying her[COMMA] he drives off[COMMA] shouting back[COMMA] [QUOTE]El dollar[COMMA] counterfeito![QUOTE],The prostitute smiles and shouts back[COMMA] [QUOTE]El syphilis[COMMA] originale![QUOTE] ,,,,,,,,,,,,,,,,,,
A man and his wife check into a cheap hotel.,The husband goes down to the bar[COMMA] but his tired wife goes up to the room to lie down.,Suddenly[COMMA] an elevated train passes by very close to the window[COMMA] shakes the room and throws her out of bed.,She lies down again[COMMA] but the same thing happens.,She calls the front desk[COMMA] and the manager comes up to investigate.,The wife says[COMMA] [QUOTE]Lie here on the bed[COMMA] you'll be thrown right to the floor.[QUOTE],The manager lies down next to the wife just as her husband walks in.,[QUOTE]What's going on here?[QUOTE] demands the husband.,The manager replies[COMMA] [QUOTE]Would you believe I'm waiting for a train?[QUOTE],,,,,,,,,,,,
A truck driver stopped at a roadside diner for lunch and ordered a cheeseburger[COMMA] coffee and a slice of apple pie.,As he was about to eat[COMMA] three bikers walked in.,One grabbed the trucker's cheeseburger and took a huge bite from it.,The second one drank the trucker's coffee[COMMA] and the third wolfed down his apple pie.,The truck driver didn't say a word as he paid the waitress and left.,As the waitress walked up[COMMA] one of the motorcyclists growled[COMMA] [QUOTE]He ain't much of a man[COMMA] is he?[QUOTE],[QUOTE]He's not much of a driver[COMMA] either[COMMA][QUOTE] the waitress replied.,[QUOTE]He just backed his 18-wheeler over three motorcycles.[QUOTE],,,,,,,,,,,,,
That's why they call it a pick-up truck!,,,,,,,,,,,,,,,,,,,,
A young boy sits on the edge of the sidewalk[COMMA] eats some M&Ms[COMMA] cuts off the back end of a grasshopper[COMMA] and then moves down the curb.,He does this over and over.,His mother asks him what he's doing.,He says[COMMA] [QUOTE]I'm playing trucker.,I pop some pills[COMMA] cut off some a**hole and keep moving.[QUOTE],,,,,,,,,,,,,,,,
Q: What do a Kenworth semi-truck and a test tube baby have in common?,A: Neither one's Peterbilt.,,,,,,,,,,,,,,,,,,,
Every day after work two blondes would look for their cars together.,Since they could never remember where they parked[COMMA] they would sit around until all the cars were gone and they could spot their vehicles.,One blonde says [QUOTE]We need to find a faster way to get home.[QUOTE],The next day[COMMA] they come to work on a donkey.,After work they come out and see a donkey tied to the fence.,I think we're going to have to wait again[COMMA] [QUOTE] says the one blonde.,[QUOTE]I'm not convinced that's our donkey.[QUOTE],[QUOTE]Why not?[QUOTE] asks the second blonde.,The first blonde says[COMMA] [QUOTE]Well[COMMA] this donkey only has one a**hole[COMMA] and this morning when we rode in[COMMA] I distinctly overhead someone say[COMMA] 'Hey look at those two a**holes on that donkey.'[QUOTE],,,,,,,,,,,,
An elderly couple sets sail on a romantic cruise.,Unfortunately[COMMA] as the ship leaves the dock[COMMA] the wife's hearing aid falls out and rolls overboard.,Then[COMMA] the old couple find bunk beds in their suite.,The husband sourly thinks[COMMA] [QUOTE]Damn!,She can't hear a thing AND no sex for a week![QUOTE],That night[COMMA] the husband taps his wife on the shoulder and asks[COMMA] [QUOTE]Up or down?[QUOTE],She immediately throws him on the bed and makes love to him.,Night after night[COMMA] she repeats this behavior every time he asks [QUOTE]up or down?[QUOTE],When they get home[COMMA] the husband goes out shopping for bunk beds to keep things spicy.,The wife returns with her new hearing aid and finds the bunk beds in the bedroom.,[QUOTE]What in the hell did you get bunk beds for?[QUOTE],[QUOTE]Every night I asked you 'up or down[COMMA]' you made wild passionate love to me.,I thought they turned you on.[QUOTE],[QUOTE]Is that what you were saying?,I thought you were asking 'f**k or drown!'[QUOTE],,,,,,
A man sits next to a very attractive woman on an airplane.,He asks her what kind of men she is interested in.,Her top three choices are Native American men[COMMA] Jewish men and Southern men.,The woman asks the man what his name is.,He replies [QUOTE]Geronimo Bernstein[COMMA] but my friends call me Bubba.[QUOTE] ,,,,,,,,,,,,,,,,
They're the only federal employee that I can think of that[COMMA] at any point[COMMA] they can flip you over and look in your butt.,That's too much power[COMMA] and I don't remember voting for that[COMMA] do you?,,,,,,,,,,,,,,,,,,,
A wife comes home and tells her husband[COMMA] [QUOTE]Dear[COMMA] something is wrong with my car.,It's got water in the carburetor.[QUOTE],The husband replies[COMMA] [QUOTE]That's not possible.[QUOTE],[QUOTE]Well[COMMA][QUOTE] says the wife[COMMA] [QUOTE]I'm telling you that's the problem.[QUOTE],The husband gets up and sighs[COMMA] [QUOTE]OK[COMMA] fine.,Where'd you park it?[QUOTE],The wife points toward the backyard[COMMA] [QUOTE]In the swimming pool.[QUOTE],,,,,,,,,,,,,,
-- I can't reach my license unless you hold my beer.,-- Sorry[COMMA] Officer[COMMA] I didn't realize I was driving.,-- Wow[COMMA] you must've been doing about 125 mph to keep up with me!,-- I was going to be a cop[COMMA] but I decided to finish high school instead.,-- You're not gonna check the trunk[COMMA] are you?,-- You look just like my girlfriend's deadbeat ex-husband.,#NAME?,-- I was trying to keep up with traffic[COMMA] and it's miles ahead of me.,-- If you have to ask if I've been drinking[COMMA] I'm not going to tell you[COMMA] dude.,-- It wasn't my fault -- when I reached down to roll this joint[COMMA] my gun fell off my lap and got lodged under the brake pedal.,-- That's a sweet 9mm.,You want to hold my,44 magnum?,-- If I'd known I was getting a full body cavity search[COMMA] I would have waxed!,,,,,,,
Ethel loves to charge around the nursing home in her wheelchair.,Due to her eccentric nature[COMMA] other residents tolerate her behavior and even play along.,As Ethel speeds down one corridor[COMMA] a door opens and a man steps out with his arm outstretched.,[QUOTE]STOP![QUOTE] he says in a firm voice.,[QUOTE]Have you got a license for that thing?[QUOTE] Ethel fishes around in her handbag and pulls out a candy wrapper.,[QUOTE]OK[COMMA][QUOTE] he says and she goes on her way.,As she rounds the next corner[COMMA] another man steps in front of her and shouts[COMMA] [QUOTE]STOP!,Do you have a valid taxi medallion for your vehicle[COMMA] madam?[QUOTE] Ethel digs into her handbag again and pulls out a beer coaster.,[QUOTE]Looks good[COMMA][QUOTE] he says and sends her on her way.,Going down the final corridor[COMMA] a third man steps in front of her.,He is stark naked and holds an erection in his hand.,[QUOTE]Oh no[COMMA][QUOTE] says Ethel[COMMA] [QUOTE]Not the breathalyzer again![QUOTE],,,,,,,,,
A trucker misses the turn-off before the low bridge and gets stuck under it.,Cars are backed up for miles.,Finally[COMMA] a police car pulls up.,The cop gets out of his car and walks around to the truck driver[COMMA] puts his hands on his hips and says[COMMA] [QUOTE]Got stuck huh?[QUOTE],The truck driver says[COMMA] [QUOTE]No[COMMA] I was delivering this bridge and ran out of gas.[QUOTE],,,,,,,,,,,,,,,,
A plane is passing through a storm when a wing is struck by lightning.,One woman freaks out and screams[COMMA] [QUOTE]I'm too young to die!,I want my last minutes of life to be satisfying.,I've had plenty of sex[COMMA] but I've never been fulfilled.,Is there anyone on this plane who can make me feel like a woman?[QUOTE],A gorgeous man stands up.,[QUOTE]I can make you feel like a woman.[QUOTE] He starts to walk slowly up the aisle[COMMA] unbuttoning his shirt one button at a time.,Muscles ripple across his chest as he extends his shirt to the trembling woman and whispers[COMMA] [QUOTE]Iron this.[QUOTE] ,,,,,,,,,,,,,
