A man goes to a $10 hooker and contracts crabs.,When he goes back to complain[COMMA] the hooker laughs and says[COMMA] [QUOTE]What do you expect for $10 -- lobster?[QUOTE] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did you hear about the constipated accountant?,He couldn't budget[COMMA] so he had to work it out with a pencil and paper.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: Why are constipated people so rude?,A: They don't give a crap.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A guy in the locker room saw another guy with a piece of cork up his ass.,''Why do you have a cork up your ass?'',''Well[COMMA] it's a long story.,But one day I was walking on the beach and I tripped over a bottle and woke up a genie who said he would grant me one wish.,I said[COMMA] 'No s**t!''',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One day a medical professor and his class were standing over a corpse and the professor said[COMMA] ''There are two things to being a medical forensicist.,First: Don't fear anything.'',After saying that[COMMA] the professor shoved his middle finger up the corpse's anus and licked it.,He then told the class to do the same.,After hesitating[COMMA] they all did it.,''Next[COMMA]'' the professor said[COMMA] ''you have to have a key observation finger.,Thus[COMMA] I licked my index finger.'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What do you get when you find a dead blonde in a closet?,A: The hide-and-seek champion of 1996.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What is the definition of agony?, A:,A one-armed man hanging off a cliff with itchy balls.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An old woman walked into a dentist's office[COMMA] took off all her clothes and spread her legs.,The dentist said[COMMA] ''I think you have the wrong room.'',''You put in my husband's teeth last week[COMMA][QUOTE] she replied.,[QUOTE]Now you have to remove them.[QUOTE] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The blonde walks into a drugstore and asks the pharmacist for some bottom deodorant.,The pharmacist[COMMA] a little bemused[COMMA] explains to the woman that they don't sell anything called bottom deodorant[COMMA] and never have.,Unfazed[COMMA] the blonde assures him that she has been buying the stuff from this store on a regular basis[COMMA] and would like some more.,[QUOTE]I'm sorry[COMMA][QUOTE] says the pharmacist[COMMA] [QUOTE]we don't have any.[QUOTE] ,[QUOTE]But I always get it here[COMMA][QUOTE] says the blonde.,[QUOTE]Do you have the container it comes in?[QUOTE] ,[QUOTE]Yes![QUOTE] says the blonde[COMMA] [QUOTE]I will go and get it.[QUOTE],She returns with the container and hands it to the pharmacist[COMMA] who looks at it and says to her[COMMA] [QUOTE]This is just a normal stick of underarm deodorant.[QUOTE] ,The annoyed blonde snatches the container back and reads out loud from the container: [QUOTE]To apply[COMMA] push up bottom.[QUOTE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: How does a redneck tell the difference between a bull and a cow in the dark?,A: He sticks his nose in the animal's ass.,If there's a place for his tongue[COMMA] it's a cow.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: How do you get a baby into a bowl?,A: A blender.,Q: How do you get them out?,A: Doritos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If a man and a woman get married in Texas and move to Washington are they still brother and sister?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: Why do dogs lick their balls?,A: Because they can.,Q: So why do they stick their noses in women's crotches?,A: Same reason.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: How do you make a baby drink?,A: Stick it in the blender.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What should you do if you come across an elephant?,A: Apologize and wipe it off.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What do Eskimos get from sitting on a block of ice?,A.,Polaroids.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did you hear about the cannibal who arrived late to the dinner party?,They gave him the cold shoulder.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One day[COMMA] a farmer was tending to his livestock when he noticed that one of his cows was completely cross-eyed.,He called up a veterinarian friend of his who told him to bring in his cow.,The vet took one look at the cow[COMMA] stuck a tube up the cow's butt[COMMA] and blew into the tube until the cow's eyes straightened out.,The vet charged the farmer a hundred bucks[COMMA] and the farmer went home happy.,About a week later[COMMA] the cow's eyes were cross-eyed again[COMMA] but this time the farmer figured he could probably take care of it himself.,So he called his hired hand over[COMMA] and together they put a tube up the cow's butt.,The farmer put his lips to the tube and started to blow.,Strangely[COMMA] nothing happened[COMMA] so he asked his hired hand to give it a try.,The hired hand removed the tube[COMMA] turned it around[COMMA] put it in the cow's butt and started to blow.,[QUOTE]What are you doing?[QUOTE] asked the farmer[COMMA] horrified.,[QUOTE]Well[COMMA] I wasn't gonna use the side that YOU had put your lips on.[QUOTE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: How do you know when a blonde has a brain fart?,A: Her ears flap.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two men both drag their right feet as they walk.,As they meet[COMMA] one man looks at the other knowingly[COMMA] points to his foot and says[COMMA] [QUOTE]Vietnam[COMMA] 1969.[QUOTE],The other points his thumb behind him and says[COMMA] [QUOTE]Dog crap[COMMA] 20 feet back.[QUOTE] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A man working with an electric saw accidentally cuts off all of his fingers.,At the emergency room[COMMA] his doctor says[COMMA] [QUOTE]Give me the fingers[COMMA] and I'll see what I can do.[QUOTE],The injured man repies[COMMA] [QUOTE]But I don't have the fingers![QUOTE],[QUOTE]Why didn't you bring them?[QUOTE] the doctor asks.,The injured man responds[COMMA] [QUOTE]Doc[COMMA] I couldn't pick them up.[QUOTE] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two flies sit on a pile of poop.,One fly passes gas.,The other fly looks at him and says[COMMA] [QUOTE]Hey[COMMA] do you mind?,I'm eating here.[QUOTE] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: Why was the condom flying through the air?,A: It got pissed off.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: How do you embarrass an archaeologist?,A: Give him a used tampon and ask him what period it came from.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: Did you hear about the giant with diarrhea?,A: You didn't?,It's all over town.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: Why did Captain Kirk piss on the roof of the Enterprise?,A: To boldly go where no man has gone before.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A man goes to the confessional.,[QUOTE]Forgive me father[COMMA] for I have sinned.[QUOTE],[QUOTE]What is your sin[COMMA] my child?[QUOTE] The priest asks back.,[QUOTE]Well[COMMA][QUOTE] the man starts[COMMA] [QUOTE]I used some horrible language this week and feel absolutely terrible.[QUOTE],[QUOTE]When did you do use this awful language?[QUOTE] said the priest.,[QUOTE]I was golfing and hit an incredible drive that looked like it was going to go over 250 yards[COMMA] but it struck a phone line that was hanging over the fairway and fell straight down to the ground after going only about 100 yards.[QUOTE],[QUOTE]Is that when you swore?[QUOTE],[QUOTE]No[COMMA] Father.[QUOTE] Said the man.,[QUOTE]After that[COMMA] a squirrel ran out of the bushes and grabbed my ball in his mouth and began to run away.[QUOTE],Is THAT when you swore?[QUOTE] asked the Father again.,[QUOTE]Well[COMMA] no.[QUOTE] said the man[COMMA] [QUOTE]You see[COMMA] as the squirrel was running[COMMA] an eagle came down out of the sky[COMMA] grabbed the squirrel in his talons and began to fly away![QUOTE],[QUOTE]Is THAT when you swore?[QUOTE] asked the amazed Priest.,[QUOTE]No[COMMA] not yet.[QUOTE] The man replied.,[QUOTE]As the eagle carried the squirrel away in his claws[COMMA] it flew,towards the green.,And as it passed over a bit of forest near the green[COMMA] the squirrel dropped my ball.[QUOTE],[QUOTE]Did you swear THEN?[QUOTE] asked the now impatient Priest.,[QUOTE]No[COMMA] because as the ball fell it struck a tree[COMMA] bounced through some bushes[COMMA] careened off a big rock[COMMA] and rolled through a sand trap onto the green and stopped within six inches of the hole.[QUOTE],[QUOTE]You missed the f**king putt[COMMA] didn't you?[QUOTE] sighed the Priest.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An old lady goes to the doctor and says[COMMA] [QUOTE]I have this problem with frequent gas.,Fortunately[COMMA] the farts never smell and are always silent.,As a matter of fact[COMMA] I've farted at least 10 times since I've been here[COMMA] and I bet you didn't even notice![QUOTE],The doctor says[COMMA] [QUOTE]I see.,Take these pills and come back next week.[QUOTE],The next week the old lady returns.,[QUOTE]Doctor[COMMA][QUOTE] she says[COMMA] [QUOTE]I don't know what the hell you gave me[COMMA] but now my silent farts stink like the dickens.[QUOTE],The doctor says[COMMA] [QUOTE]Good!,Now that we've cleared up your sinuses[COMMA] let's work on your hearing.[QUOTE] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Your fart was so loud that astronauts in space mistook it for a message from Houston!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why did God give women belly buttons?,For somewhere to stash your gum on the way down.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What do a nearsighted gynecologist and a dog have in common?,A: Wet noses.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One day[COMMA] Jeffrey complained to his friend[COMMA] ,My elbow really hurts[COMMA] I guess I should see a doctor.,Don't do that!,There's a computer at the drug store that can diagnose anything[COMMA] quicker and cheaper than a doctor.,Simply put in a sample of your urine and the computer will diagnose your problem and tell you what you can do about it.,It only costs $10.,Jeffery figured he had nothing to lose[COMMA] so he took his urine sample to the drug store.,Finding the computer[COMMA] he poured in the sample and deposited the $10.00.,The computer started making some noise and various lights started flashing.,After a brief pause[COMMA] out popped a small slip of paper on which was printed:,[QUOTE]You have tennis elbow.,Soak your arm in warm water.,Avoid heavy lifting.,It will be better in two weeks.[QUOTE], Late that evening while thinking how,amazing this new technology was and how it would change medical science forever[COMMA] he began to wonder if this machine could be fooled.,He decided to give it a try.,He mixed together some tap water[COMMA] a stool sample from his dog and urine samples from his wife and daughter., To top it off[COMMA] he masturbated into the concoction., He went back to the drug store[COMMA] located,the machine[COMMA] poured in the sample and deposited $10.00.,The computer again made the usual noise and printed out the following message:,[QUOTE]Your tap water is too hard.,Get a water softener.,Your dog has worms.,Get him vitamins.,Your daughter's using cocaine.,Put her in a rehabilitation clinic.,Your wife's pregnant - twin girls.,They aren't yours.,Get a lawyer.,And if you don't stop jerking off[COMMA] your tennis elbow will,never get better.[QUOTE],,,,,,,,,,,,,,,,,,,,
What's gross?,Farting in the bathtub.,What's grosser than that?,Catching the bubbles with your teeth.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What do you call someone who doesn't fart in public?,A: A private tooter.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There was an old couple who hadn't celebrated Halloween in a long time[COMMA] so they decided to dress up and go out.,The old woman stripped naked[COMMA] and tied a string between her legs with a lemon at the end of the string., Her husband yelled[COMMA] [QUOTE]You can't go out like that![QUOTE],She replied[COMMA] [QUOTE]I can go out as whatever I want[COMMA] and so can you![QUOTE],He agreed.,He took off all his clothes and tied a string to his penis with a potato at the end of the string.,His said[COMMA] [QUOTE]You're going out as that?[QUOTE],''Yes[COMMA]'' said the old man.,''If you can go out as a sour-puss[COMMA] I can go out as a dictator.[QUOTE] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What does a skeleton say when he wants to eat?,Bone appetit!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: How did Captain Hook die?,A: He wiped his bum with the wrong hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An army major visits the sick soldiers[COMMA] goes up to one private and asks:,What's your problem[COMMA] Soldier?,Chronic syphilis[COMMA] Sir,What treatment are you getting?,Five minutes with the wire brush each day.,What's your ambition?,To get back to the front[COMMA] Sir.,Good man., says the Major.,He goes to the next bed.,What's your,problem[COMMA] Soldier?,Chronic piles[COMMA] Sir,What treatment are you getting?,Five minutes with the wire brush each day.,What's your ambition?,To get back to the front[COMMA] Sir.,Good man., says the Major.,He goes to the next bed.,What's your,problem[COMMA] Soldier?,Chronic gum disease[COMMA] Sir,What treatment are you getting?,Five minutes with the wire brush each day.,What's your ambition?,To get the wire brush before the other two[COMMA] Sir,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three drifters are roaming the countryside for some time.,They come upon a small farmhouse with crops planted around it.,They are very hungry[COMMA] thirsty[COMMA] and tired so the first guy suggests they steal some food.,The second says they should ask for food[COMMA] so he then goes up and knocks on the door and an old[COMMA] ugly lady answers.,He asks for food and she agrees - but only under one condition.,They must have sex with her.,The first drifter says no[COMMA] the lady is too ugly[COMMA] and goes back into the woods.,The third guy is very hungry and agrees.,He enters the cottage and goes into a corner near a pile of corn to transact his business with the old lady.,The old lady is ready[COMMA] but the guy says he'll only do it if she's blindfolded.,So she puts on a blindfold and bends over.,Quickly the guy grabs an ear of corn and sticks it inside the old lady[COMMA] then throws it out the window.,The woman says[COMMA] [QUOTE]Again[COMMA][QUOTE] and the man does the same thing.,Satisfied[COMMA] she gives the man some food and he leaves.,As he is walking out of the farmhouse[COMMA] he comes upon the other two guys.,[QUOTE]Guess what?[QUOTE] the first guy says[COMMA] [QUOTE]while you screwed that old hag we found two ears of cream corn![QUOTE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What did one of the prositute's knee say to the other?,A: Nothing.,They have never met.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What do you call an incestuous nephew?,An aunt-eater.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack and Jill,Went up the hill,To smoke some marijuana,Jack got high,Pulled down his fly,And Jill said I don't wanna!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three triplets in the womb discuss what they would like to be when they grow up.,The first one says[COMMA] [QUOTE]I wanna be a plumber[COMMA] so I can fix the pipes in here.[QUOTE],The second one says[COMMA] [QUOTE]I wanna be an electrician[COMMA] so I can get some lights in here.[QUOTE],The third one says[COMMA] [QUOTE]I wanna be a boxer.[QUOTE],The other two ask[COMMA] [QUOTE]Why do you want to be a boxer?[QUOTE],He replies[COMMA] [QUOTE]So I can beat the hell out of that rude bald guy who keeps coming in here and spitting on us.[QUOTE] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What did the banana say to the vibrator?,A: [QUOTE]What are you shaking about[COMMA] it's me she's going to eat.[QUOTE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What do a bungee jump and a hooker have in common?,A: They're both cheap[COMMA] fast[COMMA] and if the rubber breaks[COMMA] you're dead.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What do you call a sex-crazed gay cannibal?,A head hunter!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two old people flirt at a seniors' singles bar.,After a few drinks[COMMA] the old man asks the old woman[COMMA] [QUOTE]If I took you out for a full night of wining[COMMA] dining and dancing[COMMA] what would you wear?[QUOTE],The old woman replies shyly[COMMA] [QUOTE]Depends...,.[QUOTE],[QUOTE]Depends on what?[QUOTE] he asks.,[QUOTE]On my bottom -- where else?![QUOTE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: Why are drummers like laxatives?,A: They irritate the s**t out of everyone.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How does herpes leave the hospital?,On crotches.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What do you call a cow with no legs?,A: Ground beef.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: Why did the referee stop the leper hockey game?,A: There was a face-off in the corner.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A man named Jed went hunting near the border of Alabama and Georgia.,When he was going back to his truck[COMMA] a game warden came up to him and asked him what he had in the sack.,[QUOTE]Three rabbits[COMMA][QUOTE] Jed said.,The warden said[COMMA] [QUOTE]Let me see one of those rabbits.[QUOTE],So Jed pulled out one of the rabbits.,The warden stuck his finger in the rabbit's butthole[COMMA] pulled it out[COMMA] smelled it and said[COMMA] [QUOTE]This is a Georgia rabbit.[QUOTE] ,Then the warden said[COMMA] [QUOTE]Let me see your Georgia huntin' license.[QUOTE],So Jed showed him.,Then the warden said[COMMA] [QUOTE]Let me see another one of those rabbits.[QUOTE],So Jed pulled out another rabbit.,Then the warden stuck his finger in the rabbit's bunghole[COMMA] tasted it and said[COMMA] [QUOTE]This is a Alamba rabbit., Let me see your Alamba huntin' license.[QUOTE],So Jed showed them to him.,Then the Warden said[COMMA] [QUOTE]Where you from boy?[QUOTE],So Jed pulled his pants down and said[COMMA] [QUOTE]You figure it out![QUOTE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: Why does a dog lick himself?,A: He can't make a fist.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What do you call an Amish guy with his hand up a horse's ass?,A: A mechanic!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A cowboy rides his horse up to a saloon.,All the patrons gawked as the cowboy kissed his horse on the butt before coming in and asking for a drink.,The bartender serves him and asks[COMMA] [QUOTE]Mind if I ask why'd ya kiss your horse on the butt?[QUOTE],The cowboy says[COMMA] [QUOTE]It's 'cause I got chapped lips.[QUOTE],The bartender asks[COMMA] [QUOTE]Does manure help them heal?[QUOTE],Cowboy replies[COMMA] [QUOTE]No[COMMA] but it keeps me from licking them.[QUOTE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One roomate said to another[COMMA][QUOTE]Man[COMMA] this morning I,woke up with white crud around my mouth.[QUOTE] , His roomate replied[COMMA] [QUOTE]Oh[COMMA] that's my fault -- I guess I missed.[QUOTE] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Johnny's class is reviewing the alphabet.,His teacher knows that he has an [QUOTE]advanced[QUOTE] vocabulary for his age[COMMA] so she avoids calling on him.,When the teacher asks for a word beginning with [QUOTE]A[COMMA][QUOTE] Little Johnny raises his hand.,The teacher anticipates he'll say[COMMA] [QUOTE]ass[QUOTE] so she calls on Mary Lou[COMMA] who says [QUOTE]apple.[QUOTE] ,This continues because the teacher knows that Little Johnny knows a cuss word for every letter of the alphabet.,Then she gets to [QUOTE]R.[QUOTE] She can't think of any cuss words that begin with R[COMMA] so she calls on Johnny.,He exclaims[COMMA] [QUOTE]R is for rats -- big f**king rats[COMMA] with 12-inch c**ks![QUOTE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why don't little girls fart?,Because they don't have assholes until they're married.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The preschool teacher says[COMMA] [QUOTE]We're going to do vocabulary today.,Who can use the word 'definitely' in a sentence?[QUOTE],Mary raises her hand and exclaims[COMMA] [QUOTE]Me me me![QUOTE],The teacher says[COMMA] [QUOTE]Go ahead[COMMA] what's the sentence?,Mary replies[COMMA] [QUOTE]The sky is definitely blue.[QUOTE],[QUOTE]That's good[COMMA] Mary[COMMA][QUOTE] says the teacher[COMMA] [QUOTE]but the sky can also be gray or white.[QUOTE],Sam raises his hand and states[COMMA] [QUOTE]Grass is definitely green.[QUOTE],The teacher says[COMMA] [QUOTE]That's good[COMMA] Sam[COMMA] but grass can be brown[COMMA] too.[QUOTE],Little Johnny raises his hand and asks[COMMA] [QUOTE]Do farts have lumps in them?[QUOTE],The teacher says[COMMA] [QUOTE]No Johnny[COMMA] why do you ask that?[QUOTE],Little Johnny replies[COMMA] [QUOTE]Well[COMMA] I definitely sh*t my pants.[QUOTE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A little boy and a little girl were taking a bath.,The little girl looked down and said[COMMA],[QUOTE]What's that?[QUOTE],[QUOTE]That's my little red sports car[COMMA][QUOTE] said the little boy.,The little boy looked down and said[COMMA],[QUOTE]What's that?[QUOTE],[QUOTE]That's my little red sports car garage[COMMA][QUOTE] said the little girl.,A few seconds later the little girl said[COMMA],[QUOTE]How about you put your little red sports car in my little red sports car garage?[QUOTE],[QUOTE]Sure[COMMA][QUOTE] said the little boy.,The little boy's mother was down stairs and heard this blood curdling scream.,She ran upstairs.,Once she got there she saw blood all over the bathtub.,[QUOTE]What happened?![QUOTE] she said.,[QUOTE]Well[COMMA] Johnny tried to put his little red sports car in my little red sports car garage...but it didn't fit....so I cut the back wheels off.....[QUOTE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did you hear the one about the cannibal who passed his brother in the jungle the other day?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two women are digging in the garden.,One pulls out a foot-long carrot and says[COMMA] [QUOTE]This one reminds me of my husband.[QUOTE],The second woman replies[COMMA] [QUOTE]Your husband's is that long?[QUOTE],Her friend answers[COMMA] [QUOTE]No -- that dirty.[QUOTE] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An Aggie and a Longhorn had just bought a ranch together[COMMA] so they were driving the fence line to check everything out when they came upon a goat with his head stuck in a fence.,So the Longhorn gets out of the truck[COMMA] looks around[COMMA] and then starts screwing the goat.,He gets finished[COMMA] takes a step back[COMMA] ands asks the Aggie[COMMA] [QUOTE]Hey[COMMA] you want a piece of this?[QUOTE],The Aggie says[COMMA] [QUOTE]Yeah[COMMA] but do I have to stick my head in the fence?[QUOTE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A kid walks by his parents having sex asks what's going on and his mother tells him[COMMA] [QUOTE]We are making fishsticks[QUOTE].,The next day the kid says[COMMA] [QUOTE]Mom were you making fishsticks again?[QUOTE] ,And she says [QUOTE]Why[COMMA] yes[COMMA] how did you know[COMMA] honey?[QUOTE],And the kid replies[COMMA] [QUOTE]Well[COMMA] you have a little tarter sauce on your mouth.[QUOTE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy and Kris walk down the street and see a dog licking himself.,Jeremy says[COMMA] [QUOTE]Man[COMMA] I wish I could do that![QUOTE],Kris replies[COMMA] [QUOTE]I think you'd have to pet him first.[QUOTE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
